Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"St Simons Bank & Trust","St Simons Bank & Trust","St Simons Bank & Trust Zelle JJZ S","true","true","https://www.stsimonsbank.com","Active","https://enroll.zellepay.com/api/v1/ecm/sites/ecm/files/logos/override_uploads/stsimonsbank%26trust-zellepay.png","","https://www.stsimonsbank.com"
"St. Annes CU","St. Annes CU","St. Annes CU Zelle 28G S","true","true","https://www.stannes.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/28G.png","","https://www.stannes.com/zelle"
"St. Charles Bank & Trust","St. Charles Bank & Trust","St. Charles Bank & Trust Zelle 0B5 S","true","true","https://www.wintrust.com/zelle.html","Active","https://enroll.zellepay.com/logos/zellepay/0B5.png","","https://www.wintrust.com/zelle.html"
"Staley Credit Union","Staley Credit Union","Staley Credit Union Zelle 2OB S","true","true","https://www.staleycu.com/digital/mobile-payment-services/mobile-wallet-banking-service/zelle-app/","Active","https://enroll.zellepay.com/logos/zellepay/2OB.png","","https://www.staleycu.com/digital/mobile-payment-services/mobile-wallet-banking-service/zelle-app/"
"Stanford Federal Credit Union","Stanford Federal Credit Union","Stanford Federal Credit Union Zelle 0NJ S","true","true","https://www.sfcu.org/zelle","Active","https://enroll.zellepay.com/api/v1/ecm/sites/ecm/files/logos/override_uploads/0NJ-zellepay.png","","https://www.sfcu.org/zelle"
"STAR Financial Bank","STAR Financial Bank","STAR Financial Bank Zelle JIL S","true","true","https://www.paymentsemails.com/ZelleOverview?jhid=5641&showVideo=1","Active","https://enroll.zellepay.com/logos/zellepay/JIL.png","","https://www.paymentsemails.com/ZelleOverview?jhid=5641&showVideo=1"
"STAR Financial Credit Union","STAR Financial Credit Union","STAR Financial Credit Union Zelle 36D S","true","true","https://starcu.org/resources/zelle","Active","https://enroll.zellepay.com/logos/zellepay/36D.png","","https://starcu.org/resources/zelle"
"Star One","Star One","Star One Zelle STO S","true","true","https://www.starone.org/banking/zelle","Active","https://enroll.zellepay.com/api/v1/ecm/sites/ecm/files/logos/override_uploads/STO_1.png","","https://www.starone.org/banking/zelle"
"Starion Bank","Starion Bank","Starion Bank Zelle 21S S","true","true","https://starionbank.com/home.aspx","Active","https://enroll.zellepay.com/logos/zellepay/21S.png","","https://starionbank.com/home.aspx"
"StarUsa Federal Credit Union","StarUsa Federal Credit Union","StarUsa Federal Credit Union Zelle 2US S","true","true","https://www.starusafcu.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2US.png","","https://www.starusafcu.com/zelle"
"State Bank","State Bank","State Bank Zelle JJ3 S","true","true","https://www.paymentsemails.com/ZelleOverview?MyFITool&jhID=47769&showVideo=1","Active","https://enroll.zellepay.com/logos/zellepay/JJ3.png","","https://www.paymentsemails.com/ZelleOverview?MyFITool&jhID=47769&showVideo=1"
"State Bank (IL/MO)","State Bank (IL/MO)","State Bank (IL/MO) Zelle 3R0 S","true","true","https://www.sbw.bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3R0.png","","https://www.sbw.bank/zelle"
"State Bank and Trust Company","State Bank and Trust Company","State Bank and Trust Company Zelle 3DW S","true","true","https://www.yourstatebank.com/personal/bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3DW.png","","https://www.yourstatebank.com/personal/bank/zelle"
"State Bank Financial","State Bank Financial","State Bank Financial Zelle 0JS S","true","true","https://www.statebankfinancial.bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0JS.png","","https://www.statebankfinancial.bank/zelle"
"State Bank of Graymont","State Bank of Graymont","State Bank of Graymont Zelle 2Y0 S","true","true","https://www.sbofgray.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2Y0.png","","https://www.sbofgray.com/zelle"
